node_id,type,x,y,x_m,y_m,region,degree,connected_nodes,is_door
R2_N0,junction,200,174,3.9000000000000004,-0.4,2,23,"R2_N1, R2_N2, R2_N3, R2_N4, R2_N5, R2_N6, R2_N7, R2_N8, R2_N9, R2_N10, R2_N11, R2_N14, R2_N15, R2_N16, R2_N17, R2_N26, R2_N30, R2_N31",False
R2_N1,junction,205,174,4.15,-0.4,2,29,"R2_N0, R2_N2, R2_N3, R2_N4, R2_N5, R2_N6, R2_N7, R2_N8, R2_N9, R2_N10, R2_N11, R2_N14, R2_N15, R2_N16, R2_N17, R2_N18, R2_N22, R2_N23, R2_N25, R2_N26, R2_N27, R2_N32, R2_N33, R2_N34",False
R2_N2,junction,225,174,5.15,-0.4,2,38,"R2_N0, R2_N1, R2_N3, R2_N4, R2_N5, R2_N6, R2_N7, R2_N8, R2_N9, R2_N10, R2_N11, R2_N14, R2_N15, R2_N16, R2_N17, R2_N18, R2_N22, R2_N23, R2_N25, R2_N26, R2_N27, R2_N30, R2_N31, R2_N32, R2_N33, R2_N34",False
R2_N3,junction,235,174,5.65,-0.4,2,29,"R2_N0, R2_N1, R2_N2, R2_N4, R2_N5, R2_N6, R2_N7, R2_N8, R2_N9, R2_N10, R2_N14, R2_N15, R2_N16, R2_N17, R2_N18, R2_N22, R2_N23, R2_N25, R2_N26, R2_N27, R2_N30, R2_N32",False
R2_N4,junction,202,176,4.0,-0.5,2,24,"R2_N0, R2_N1, R2_N2, R2_N3, R2_N5, R2_N6, R2_N8, R2_N9, R2_N10, R2_N11, R2_N14, R2_N15, R2_N16, R2_N17, R2_N18, R2_N26, R2_N30, R2_N31",False
R2_N5,junction,203,176,4.05,-0.5,2,22,"R2_N0, R2_N1, R2_N2, R2_N3, R2_N4, R2_N6, R2_N8, R2_N9, R2_N10, R2_N11, R2_N14, R2_N15, R2_N16, R2_N17, R2_N18, R2_N26, R2_N30",False
R2_N6,junction,203,177,4.05,-0.55,2,24,"R2_N0, R2_N1, R2_N2, R2_N3, R2_N4, R2_N5, R2_N8, R2_N9, R2_N10, R2_N11, R2_N14, R2_N15, R2_N16, R2_N17, R2_N18, R2_N26, R2_N30, R2_N31",False
R2_N7,junction,230,179,5.4,-0.65,2,28,"R2_N0, R2_N1, R2_N2, R2_N3, R2_N14, R2_N15, R2_N16, R2_N17, R2_N18, R2_N22, R2_N23, R2_N25, R2_N26, R2_N27, R2_N30, R2_N31, R2_N32, R2_N33, R2_N34",False
R2_N8,junction,203,180,4.05,-0.7000000000000001,2,25,"R2_N0, R2_N1, R2_N2, R2_N3, R2_N4, R2_N5, R2_N6, R2_N9, R2_N10, R2_N11, R2_N14, R2_N15, R2_N16, R2_N17, R2_N18, R2_N26, R2_N30, R2_N31, R2_N32, R2_N33",False
R2_N9,junction,202,181,4.0,-0.75,2,27,"R2_N0, R2_N1, R2_N2, R2_N3, R2_N4, R2_N5, R2_N6, R2_N8, R2_N10, R2_N11, R2_N14, R2_N15, R2_N16, R2_N17, R2_N18, R2_N26, R2_N30, R2_N32, R2_N33, R2_N34",False
R2_N10,junction,203,182,4.05,-0.8,2,27,"R2_N0, R2_N1, R2_N2, R2_N3, R2_N4, R2_N5, R2_N6, R2_N8, R2_N9, R2_N11, R2_N14, R2_N15, R2_N16, R2_N17, R2_N18, R2_N26, R2_N30, R2_N32, R2_N33, R2_N34",False
R2_N11,junction,203,185,4.05,-0.9500000000000001,2,25,"R2_N0, R2_N1, R2_N2, R2_N4, R2_N5, R2_N6, R2_N8, R2_N9, R2_N10, R2_N14, R2_N15, R2_N16, R2_N17, R2_N18, R2_N22, R2_N23, R2_N25, R2_N26, R2_N27, R2_N30, R2_N31",False
R2_N14,junction,203,186,4.05,-1.0,2,27,"R2_N0, R2_N1, R2_N2, R2_N3, R2_N4, R2_N5, R2_N6, R2_N7, R2_N8, R2_N9, R2_N10, R2_N11, R2_N15, R2_N16, R2_N17, R2_N18, R2_N22, R2_N25, R2_N26, R2_N27, R2_N30, R2_N31, R2_N33",False
R2_N15,junction,204,186,4.1000000000000005,-1.0,2,27,"R2_N0, R2_N1, R2_N2, R2_N3, R2_N4, R2_N5, R2_N6, R2_N7, R2_N8, R2_N9, R2_N10, R2_N11, R2_N14, R2_N16, R2_N17, R2_N18, R2_N22, R2_N23, R2_N25, R2_N26, R2_N27, R2_N30, R2_N31",False
R2_N16,junction,207,186,4.25,-1.0,2,33,"R2_N0, R2_N1, R2_N2, R2_N3, R2_N4, R2_N5, R2_N6, R2_N7, R2_N8, R2_N9, R2_N10, R2_N11, R2_N14, R2_N15, R2_N17, R2_N18, R2_N22, R2_N23, R2_N25, R2_N26, R2_N27, R2_N30, R2_N31, R2_N32, R2_N33, R2_N34",False
R2_N17,junction,223,186,5.050000000000001,-1.0,2,47,"R2_N0, R2_N1, R2_N2, R2_N3, R2_N4, R2_N5, R2_N6, R2_N7, R2_N8, R2_N9, R2_N10, R2_N11, R2_N14, R2_N15, R2_N16, R2_N18, R2_N22, R2_N23, R2_N25, R2_N26, R2_N27, R2_N30, R2_N31, R2_N32, R2_N33, R2_N34",False
R2_N18,junction,229,186,5.3500000000000005,-1.0,2,31,"R2_N1, R2_N2, R2_N3, R2_N4, R2_N5, R2_N6, R2_N7, R2_N8, R2_N9, R2_N10, R2_N11, R2_N14, R2_N15, R2_N16, R2_N17, R2_N22, R2_N23, R2_N25, R2_N26, R2_N27, R2_N30, R2_N31, R2_N32, R2_N33, R2_N34",False
R2_N22,junction,230,193,5.4,-1.35,2,22,"R2_N1, R2_N2, R2_N3, R2_N7, R2_N11, R2_N14, R2_N15, R2_N16, R2_N17, R2_N18, R2_N23, R2_N25, R2_N26, R2_N27, R2_N30, R2_N31, R2_N32, R2_N33, R2_N34",False
R2_N23,junction,231,194,5.45,-1.4000000000000001,2,21,"R2_N1, R2_N2, R2_N3, R2_N7, R2_N11, R2_N15, R2_N16, R2_N17, R2_N18, R2_N22, R2_N25, R2_N26, R2_N27, R2_N30, R2_N31, R2_N32, R2_N33, R2_N34",False
R2_N25,junction,230,196,5.4,-1.5,2,25,"R2_N1, R2_N2, R2_N3, R2_N7, R2_N11, R2_N14, R2_N15, R2_N16, R2_N17, R2_N18, R2_N22, R2_N23, R2_N26, R2_N27, R2_N30, R2_N31, R2_N32, R2_N33, R2_N34",False
R2_N26,junction,229,197,5.3500000000000005,-1.55,2,34,"R2_N0, R2_N1, R2_N2, R2_N3, R2_N4, R2_N5, R2_N6, R2_N7, R2_N8, R2_N9, R2_N10, R2_N11, R2_N14, R2_N15, R2_N16, R2_N17, R2_N18, R2_N22, R2_N23, R2_N25, R2_N27, R2_N30, R2_N31, R2_N32, R2_N33, R2_N34",False
R2_N27,junction,230,197,5.4,-1.55,2,31,"R2_N1, R2_N2, R2_N3, R2_N7, R2_N11, R2_N14, R2_N15, R2_N16, R2_N17, R2_N18, R2_N22, R2_N23, R2_N25, R2_N26, R2_N30, R2_N31, R2_N32, R2_N33, R2_N34",False
R2_N30,junction,225,201,5.15,-1.75,2,41,"R2_N0, R2_N2, R2_N3, R2_N4, R2_N5, R2_N6, R2_N7, R2_N8, R2_N9, R2_N10, R2_N11, R2_N14, R2_N15, R2_N16, R2_N17, R2_N18, R2_N22, R2_N23, R2_N25, R2_N26, R2_N27, R2_N31, R2_N32, R2_N33, R2_N34",False
R2_N31,junction,233,204,5.550000000000001,-1.9000000000000001,2,30,"R2_N0, R2_N2, R2_N4, R2_N6, R2_N7, R2_N8, R2_N11, R2_N14, R2_N15, R2_N16, R2_N17, R2_N18, R2_N22, R2_N23, R2_N25, R2_N26, R2_N27, R2_N30, R2_N32, R2_N33, R2_N34",False
R2_N32,junction,232,205,5.5,-1.9500000000000002,2,28,"R2_N1, R2_N2, R2_N3, R2_N7, R2_N8, R2_N9, R2_N10, R2_N16, R2_N17, R2_N18, R2_N22, R2_N23, R2_N25, R2_N26, R2_N27, R2_N30, R2_N31, R2_N33, R2_N34",False
R2_N33,junction,233,206,5.550000000000001,-2.0,2,28,"R2_N1, R2_N2, R2_N7, R2_N8, R2_N9, R2_N10, R2_N14, R2_N16, R2_N17, R2_N18, R2_N22, R2_N23, R2_N25, R2_N26, R2_N27, R2_N30, R2_N31, R2_N32, R2_N34",False
R2_N34,junction,232,207,5.5,-2.0500000000000003,2,24,"R2_N1, R2_N2, R2_N7, R2_N9, R2_N10, R2_N16, R2_N17, R2_N18, R2_N22, R2_N23, R2_N25, R2_N26, R2_N27, R2_N30, R2_N31, R2_N32, R2_N33",False
R3_N12,junction,158,186,1.8,-1.0,3,11,"R3_N13, R3_N21, R3_N24, R3_N29",False
R3_N13,junction,169,186,2.35,-1.0,3,12,"R3_N12, R3_N21, R3_N24, R3_N29",False
R3_N21,junction,163,191,2.0500000000000003,-1.25,3,9,"R3_N12, R3_N13, R3_N24, R3_N29",False
R3_N24,junction,160,195,1.9000000000000001,-1.4500000000000002,3,13,"R3_N12, R3_N13, R3_N21, R3_N29",False
R3_N29,junction,144,200,1.1,-1.7000000000000002,3,14,"R3_N12, R3_N13, R3_N21, R3_N24",False
R4_N19,junction,202,187,4.0,-1.05,4,24,"R4_N20, R4_N28, R4_N50",False
R4_N20,junction,203,188,4.05,-1.1,4,25,"R4_N19, R4_N28, R4_N50",False
R4_N28,junction,203,199,4.05,-1.6500000000000001,4,38,"R4_N19, R4_N20, R4_N40, R4_N41, R4_N42, R4_N43, R4_N46, R4_N47, R4_N48, R4_N50, R4_N52, R4_N53, R4_N54, R4_N55, R4_N56, R4_N58, R4_N63, R4_N71, R4_N72",False
R4_N40,junction,178,225,2.8000000000000003,-2.95,4,36,"R4_N28, R4_N122, R4_N123, R4_N124, R4_N125, R4_N126, R4_N41, R4_N42, R4_N43, R4_N46, R4_N47, R4_N48, R4_N49, R4_N50, R4_N51, R4_N52, R4_N53, R4_N54, R4_N55, R4_N56, R4_N57, R4_N58, R4_N59, R4_N61, R4_N62, R4_N63, R4_N69, R4_N71, R4_N73",False
R4_N41,junction,179,225,2.85,-2.95,4,34,"R4_N28, R4_N122, R4_N123, R4_N124, R4_N125, R4_N126, R4_N40, R4_N42, R4_N43, R4_N46, R4_N47, R4_N48, R4_N49, R4_N50, R4_N51, R4_N52, R4_N53, R4_N54, R4_N55, R4_N56, R4_N57, R4_N58, R4_N60, R4_N61, R4_N63, R4_N71, R4_N72, R4_N73",False
R4_N42,junction,188,225,3.3000000000000003,-2.95,4,33,"R4_N28, R4_N122, R4_N123, R4_N124, R4_N125, R4_N126, R4_N40, R4_N41, R4_N43, R4_N46, R4_N47, R4_N48, R4_N49, R4_N50, R4_N51, R4_N52, R4_N53, R4_N54, R4_N55, R4_N56, R4_N58, R4_N59, R4_N61, R4_N62, R4_N63, R4_N66, R4_N69, R4_N73",False
R4_N43,junction,191,225,3.45,-2.95,4,28,"R4_N28, R4_N122, R4_N123, R4_N124, R4_N125, R4_N126, R4_N40, R4_N41, R4_N42, R4_N46, R4_N47, R4_N48, R4_N49, R4_N50, R4_N51, R4_N52, R4_N53, R4_N54, R4_N55, R4_N56, R4_N58, R4_N60, R4_N61, R4_N62, R4_N71, R4_N72",False
R4_N46,junction,178,226,2.8000000000000003,-3.0,4,36,"R4_N28, R4_N122, R4_N123, R4_N124, R4_N125, R4_N126, R4_N40, R4_N41, R4_N42, R4_N43, R4_N47, R4_N48, R4_N49, R4_N50, R4_N51, R4_N52, R4_N53, R4_N54, R4_N55, R4_N56, R4_N57, R4_N58, R4_N60, R4_N61, R4_N63, R4_N71, R4_N72, R4_N73",False
R4_N47,junction,190,226,3.4000000000000004,-3.0,4,29,"R4_N28, R4_N122, R4_N123, R4_N124, R4_N125, R4_N126, R4_N40, R4_N41, R4_N42, R4_N43, R4_N46, R4_N48, R4_N49, R4_N50, R4_N51, R4_N52, R4_N53, R4_N54, R4_N55, R4_N56, R4_N58, R4_N59, R4_N60, R4_N61, R4_N62, R4_N71, R4_N72",False
R4_N48,junction,191,226,3.45,-3.0,4,29,"R4_N28, R4_N122, R4_N123, R4_N124, R4_N125, R4_N126, R4_N40, R4_N41, R4_N42, R4_N43, R4_N46, R4_N47, R4_N49, R4_N50, R4_N51, R4_N52, R4_N53, R4_N54, R4_N55, R4_N56, R4_N58, R4_N59, R4_N60, R4_N61, R4_N62, R4_N66, R4_N69",False
R4_N49,junction,158,232,1.8,-3.3000000000000003,4,34,"R4_N122, R4_N123, R4_N124, R4_N125, R4_N126, R4_N40, R4_N41, R4_N42, R4_N43, R4_N46, R4_N47, R4_N48, R4_N51, R4_N52, R4_N53, R4_N54, R4_N55, R4_N56, R4_N57, R4_N58, R4_N59, R4_N60, R4_N61, R4_N62, R4_N63, R4_N66, R4_N69, R4_N71, R4_N72, R4_N73",False
R4_N50,junction,200,235,3.9000000000000004,-3.45,4,32,"R4_N19, R4_N20, R4_N28, R4_N122, R4_N124, R4_N125, R4_N126, R4_N40, R4_N41, R4_N42, R4_N43, R4_N46, R4_N47, R4_N48, R4_N64, R4_N65, R4_N67, R4_N68",False
R4_N51,junction,164,238,2.1,-3.6,4,34,"R4_N122, R4_N123, R4_N124, R4_N125, R4_N126, R4_N40, R4_N41, R4_N42, R4_N43, R4_N46, R4_N47, R4_N48, R4_N49, R4_N52, R4_N53, R4_N54, R4_N55, R4_N56, R4_N58, R4_N59, R4_N60, R4_N61, R4_N62, R4_N63, R4_N66, R4_N69, R4_N71, R4_N72, R4_N73",False
R4_N52,junction,165,238,2.15,-3.6,4,35,"R4_N28, R4_N122, R4_N123, R4_N124, R4_N125, R4_N126, R4_N40, R4_N41, R4_N42, R4_N43, R4_N46, R4_N47, R4_N48, R4_N49, R4_N51, R4_N53, R4_N54, R4_N55, R4_N56, R4_N58, R4_N59, R4_N60, R4_N61, R4_N62, R4_N63, R4_N66, R4_N69, R4_N71, R4_N72, R4_N73",False
R4_N53,junction,165,239,2.15,-3.6500000000000004,4,34,"R4_N28, R4_N122, R4_N123, R4_N124, R4_N125, R4_N126, R4_N40, R4_N41, R4_N42, R4_N43, R4_N46, R4_N47, R4_N48, R4_N49, R4_N51, R4_N52, R4_N54, R4_N55, R4_N56, R4_N58, R4_N59, R4_N60, R4_N61, R4_N62, R4_N63, R4_N66, R4_N69, R4_N71, R4_N72, R4_N73",False
R4_N54,junction,165,240,2.15,-3.7,4,33,"R4_N28, R4_N122, R4_N123, R4_N124, R4_N125, R4_N126, R4_N40, R4_N41, R4_N42, R4_N43, R4_N46, R4_N47, R4_N48, R4_N49, R4_N51, R4_N52, R4_N53, R4_N55, R4_N56, R4_N58, R4_N59, R4_N60, R4_N61, R4_N62, R4_N63, R4_N66, R4_N69, R4_N71, R4_N72, R4_N73",False
R4_N55,junction,165,241,2.15,-3.75,4,35,"R4_N28, R4_N122, R4_N123, R4_N124, R4_N125, R4_N126, R4_N40, R4_N41, R4_N42, R4_N43, R4_N46, R4_N47, R4_N48, R4_N49, R4_N51, R4_N52, R4_N53, R4_N54, R4_N56, R4_N58, R4_N59, R4_N60, R4_N61, R4_N62, R4_N63, R4_N66, R4_N69, R4_N71, R4_N72, R4_N73",False
R4_N56,junction,166,241,2.2,-3.75,4,36,"R4_N28, R4_N122, R4_N123, R4_N124, R4_N125, R4_N126, R4_N40, R4_N41, R4_N42, R4_N43, R4_N46, R4_N47, R4_N48, R4_N49, R4_N51, R4_N52, R4_N53, R4_N54, R4_N55, R4_N58, R4_N59, R4_N60, R4_N61, R4_N62, R4_N63, R4_N66, R4_N69, R4_N71, R4_N72, R4_N73",False
R4_N57,junction,133,243,0.55,-3.85,4,22,"R4_N40, R4_N41, R4_N46, R4_N49, R4_N59, R4_N60, R4_N61, R4_N62, R4_N63, R4_N66, R4_N69, R4_N71, R4_N72, R4_N73, R4_N77, R4_N78, R4_N79, R4_N80, R4_N81, R4_N82, R4_N83",False
R4_N58,junction,171,246,2.45,-4.0,4,36,"R4_N28, R4_N122, R4_N123, R4_N124, R4_N125, R4_N126, R4_N40, R4_N41, R4_N42, R4_N43, R4_N46, R4_N47, R4_N48, R4_N49, R4_N51, R4_N52, R4_N53, R4_N54, R4_N55, R4_N56, R4_N59, R4_N60, R4_N61, R4_N62, R4_N63, R4_N66, R4_N69, R4_N71, R4_N72, R4_N73, R4_N77, R4_N81",False
R4_N59,junction,139,249,0.8500000000000001,-4.15,4,27,"R4_N40, R4_N42, R4_N47, R4_N48, R4_N49, R4_N51, R4_N52, R4_N53, R4_N54, R4_N55, R4_N56, R4_N57, R4_N58, R4_N60, R4_N61, R4_N62, R4_N63, R4_N66, R4_N69, R4_N71, R4_N72, R4_N73, R4_N77, R4_N78, R4_N81, R4_N83",False
R4_N60,junction,139,250,0.8500000000000001,-4.2,4,29,"R4_N41, R4_N43, R4_N46, R4_N47, R4_N48, R4_N49, R4_N51, R4_N52, R4_N53, R4_N54, R4_N55, R4_N56, R4_N57, R4_N58, R4_N59, R4_N61, R4_N62, R4_N63, R4_N66, R4_N69, R4_N71, R4_N72, R4_N73, R4_N77, R4_N78, R4_N79, R4_N81, R4_N82, R4_N83",False
